Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)						
10	2	2	16	17.5
10	2	2	32	25
10	2	2	64	50
10	2	2	128	12.5
10	2	2	256	26.25
10	2	2	512	12.5
10	2	2	1024	31.25
10	2	4	8	12.5
10	2	4	16	25
10	2	4	32	25
10	2	4	64	48.75
10	2	4	128	71.25
10	2	4	256	85
10	2	4	512	58.75
10	2	4	1024	12.5
10	2	8	8	25
10	2	8	16	30
10	2	8	32	67.5
10	2	8	64	100
10	2	8	128	100
10	2	8	256	100
10	2	8	512	91.25
10	2	8	1024	12.5
10	2	16	8	17.5
10	2	16	16	53.75
10	2	16	32	100
10	2	16	64	100
10	2	16	128	100
10	2	16	256	100
10	2	16	512	12.5
10	2	16	1024	100
10	2	32	8	26.25
10	2	32	16	80
10	2	32	32	100
10	2	32	64	100
10	2	32	128	100
10	2	32	256	100
10	2	32	512	100
10	2	32	1024	100
10	2	64	8	32.5
10	2	64	16	82.5
10	2	64	32	12.5
10	2	64	64	100
10	2	64	128	100
10	2	64	256	12.5
10	2	64	512	100
10	2	64	1024	100
10	4	2	8	12.5
10	4	2	16	5
10	4	2	32	38.75
10	4	2	64	23.75
10	4	2	128	37.5
10	4	2	256	25
10	4	2	512	25
10	4	2	1024	28.75
10	4	4	8	20
10	4	4	16	28.75
10	4	4	32	38.75
10	4	4	64	47.5
10	4	4	128	30
10	4	4	256	45
10	4	4	512	12.5
10	4	4	1024	26.25
10	4	8	8	13.75
10	4	8	16	35
10	4	8	32	12.5
10	4	8	64	75
10	4	8	128	61.25
10	4	8	256	12.5
10	4	8	512	71.25
10	4	8	1024	62.5
10	4	16	8	12.5
10	4	16	16	36.25
10	4	16	32	82.5
10	4	16	64	67.5
10	4	16	128	100
10	4	16	256	91.25
10	4	16	512	97.5
10	4	16	1024	100
10	4	32	8	12.5
10	4	32	16	12.5
10	4	32	32	96.25
10	4	32	64	12.5
10	4	32	128	100
10	4	32	256	100
10	4	32	512	12.5
10	4	32	1024	100
10	4	64	8	40
10	4	64	16	37.5
10	4	64	32	98.75
10	4	64	64	100
10	4	64	128	100
10	4	64	256	100
10	4	64	512	100
10	4	64	1024	100
10	8	2	8	12.5
10	8	2	16	12.5
10	8	2	32	12.5
10	8	2	64	25
10	8	2	128	12.5
10	8	2	256	12.5
10	8	2	512	12.5
10	8	2	1024	26.25
10	8	4	8	12.5
10	8	4	16	12.5
10	8	4	32	25
10	8	4	64	12.5
10	8	4	128	37.5
10	8	4	256	12.5
10	8	4	512	42.5
10	8	4	1024	21.25
10	8	8	8	12.5
10	8	8	16	12.5
10	8	8	32	48.75
10	8	8	64	52.5
10	8	8	128	12.5
10	8	8	256	70
10	8	8	512	38.75
10	8	8	1024	35
10	8	16	8	35
10	8	16	16	18.75
10	8	16	32	31.25
10	8	16	64	67.5
10	8	16	128	12.5
10	8	16	256	73.75
10	8	16	512	96.25
10	8	16	1024	37.5
10	8	32	8	25
10	8	32	16	27.5
10	8	32	32	51.25
10	8	32	64	12.5
10	8	32	128	12.5
10	8	32	256	100
10	8	32	512	68.75
10	8	32	1024	98.75
10	8	64	8	22.5
10	8	64	16	40
10	8	64	32	81.25
10	8	64	64	12.5
10	8	64	128	98.75
10	8	64	256	12.5
10	8	64	512	100
10	8	64	1024	12.5
10	16	2	8	12.5
10	16	2	16	12.5
10	16	2	32	13.75
10	16	2	64	25
10	16	2	128	8.75
10	16	2	256	31.25
10	16	2	512	25
10	16	2	1024	16.25
10	16	4	8	21.25
10	16	4	16	12.5
10	16	4	32	12.5
10	16	4	64	25
10	16	4	128	22.5
10	16	4	256	12.5
10	16	4	512	35
10	16	4	1024	27.5
10	16	8	8	12.5
10	16	8	16	20
10	16	8	32	25
10	16	8	64	22.5
10	16	8	128	31.25
10	16	8	256	43.75
10	16	8	512	45
10	16	8	1024	55
10	16	16	8	12.5
10	16	16	16	37.5
10	16	16	32	30
10	16	16	64	61.25
10	16	16	128	71.25
10	16	16	256	51.25
10	16	16	512	12.5
10	16	16	1024	95
10	16	32	8	25
10	16	32	16	46.25
10	16	32	32	12.5
10	16	32	64	85
10	16	32	128	52.5
10	16	32	256	27.5
10	16	32	512	12.5
10	16	32	1024	75
10	16	64	8	12.5
10	16	64	16	35
10	16	64	32	97.5
10	16	64	64	90
10	16	64	128	96.25
10	16	64	256	12.5
10	16	64	512	96.25
10	16	64	1024	100
10	32	2	8	12.5
10	32	2	16	11.25
10	32	2	32	12.5
10	32	2	64	12.5
10	32	2	128	13.75
10	32	2	256	12.5
10	32	2	512	20
10	32	2	1024	8.75
10	32	4	8	12.5
10	32	4	16	17.5
10	32	4	32	12.5
10	32	4	64	26.25
10	32	4	128	23.75
10	32	4	256	25
10	32	4	512	26.25
10	32	4	1024	25
10	32	8	8	18.75
10	32	8	16	15
10	32	8	32	37.5
10	32	8	64	12.5
10	32	8	128	12.5
10	32	8	256	43.75
10	32	8	512	8.75
10	32	8	1024	43.75
10	32	16	8	12.5
10	32	16	16	12.5
10	32	16	32	38.75
10	32	16	64	47.5
10	32	16	128	46.25
10	32	16	256	33.75
10	32	16	512	50
10	32	16	1024	91.25
10	32	32	8	12.5
10	32	32	16	26.25
10	32	32	32	57.5
10	32	32	64	38.75
10	32	32	128	12.5
10	32	32	256	46.25
10	32	32	512	65
10	32	32	1024	50
10	32	64	8	23.75
10	32	64	16	38.75
10	32	64	32	48.75
10	32	64	64	25
10	32	64	128	81.25
10	32	64	256	48.75
10	32	64	512	12.5
10	32	64	1024	85
Jumlah Epoch	Jumlah Batch Size	Jumlah Neuron pada FC	Jumlah Input pada Flatten	Akurasi (%)
15	2	2	8	22.5
15	2	2	16	10
15	2	2	32	25
15	2	2	64	25
15	2	2	128	52.5
15	2	2	256	46.25
15	2	2	512	58.75
15	2	2	1024	56.25
15	2	4	8	12.5
15	2	4	16	30
15	2	4	32	81.25
15	2	4	64	75
15	2	4	128	97.5
15	2	4	256	25
15	2	4	512	93.75
15	2	4	1024	86.25
15	2	8	8	25
15	2	8	16	47.5
15	2	8	32	98.75
15	2	8	64	100
15	2	8	128	100
15	2	8	256	97.5
15	2	8	512	12.5
15	2	8	1024	100
15	2	16	8	31.25
15	2	16	16	12.5
15	2	16	32	27.5
15	2	16	64	12.5
15	2	16	128	100
15	2	16	256	100
15	2	16	512	100
15	2	16	1024	100
15	2	32	8	45
15	2	32	16	95
15	2	32	32	12.5
15	2	32	64	100
15	2	32	128	12.5
15	2	32	256	100
15	2	32	512	100
15	2	32	1024	12.5
15	2	64	8	43.75
15	2	64	16	87.5
15	2	64	32	100
15	2	64	64	100
15	2	64	128	100
15	2	64	256	12.5
15	2	64	512	100
15	2	64	1024	100
15	4	2	8	12.5
15	4	2	16	12.5
15	4	2	32	25
15	4	2	64	12.5
15	4	2	128	27.5
15	4	2	256	32.5
15	4	2	512	25
15	4	2	1024	12.5
15	4	4	8	11.25
15	4	4	16	23.75
15	4	4	32	42.5
15	4	4	64	12.5
15	4	4	128	53.75
15	4	4	256	12.5
15	4	4	512	66.25
15	4	4	1024	50
15	4	8	8	36.25
15	4	8	16	47.5
15	4	8	32	98.75
15	4	8	64	25
15	4	8	128	12.5
15	4	8	256	100
15	4	8	512	12.5
15	4	8	1024	76.25
15	4	16	8	38.75
15	4	16	16	12.5
15	4	16	32	71.25
15	4	16	64	98.75
15	4	16	128	12.5
15	4	16	256	100
15	4	16	512	12.5
15	4	16	1024	100
15	4	32	8	12.5
15	4	32	16	65
15	4	32	32	100
15	4	32	64	100
15	4	32	128	100
15	4	32	256	12.5
15	4	32	512	100
15	4	32	1024	100
15	4	64	8	37.5
15	4	64	16	73.75
15	4	64	32	100
15	4	64	64	12.5
15	4	64	128	100
15	4	64	256	100
15	4	64	512	100
15	4	64	1024	100
15	8	2	8	12.5
15	8	2	16	25
15	8	2	32	36.25
15	8	2	64	16.25
15	8	2	128	12.5
15	8	2	256	16.25
15	8	2	512	18.75
15	8	2	1024	23.75
15	8	4	8	12.5
15	8	4	16	18.75
15	8	4	32	25
15	8	4	64	12.5
15	8	4	128	12.5
15	8	4	256	12.5
15	8	4	512	60
15	8	4	1024	31.25
15	8	8	8	12.5
15	8	8	16	30
15	8	8	32	12.5
15	8	8	64	66.25
15	8	8	128	12.5
15	8	8	256	42.5
15	8	8	512	57.5
15	8	8	1024	66.25
15	8	16	8	12.5
15	8	16	16	31.25
15	8	16	32	71.25
15	8	16	64	12.5
15	8	16	128	100
15	8	16	256	100
15	8	16	512	98.75
15	8	16	1024	82.5
15	8	32	8	23.75
15	8	32	16	40
15	8	32	32	97.5
15	8	32	64	100
15	8	32	128	100
15	8	32	256	100
15	8	32	512	100
15	8	32	1024	98.75
15	8	64	8	12.5
15	8	64	16	78.75
15	8	64	32	12.5
15	8	64	64	100
15	8	64	128	100
15	8	64	256	100
15	8	64	512	12.5
15	8	64	1024	100
15	16	2	8	12.5
15	16	2	16	12.5
15	16	2	32	12.5
15	16	2	64	17.5
15	16	2	128	5
15	16	2	256	15
15	16	2	512	12.5
15	16	2	1024	12.5
15	16	4	8	12.5
15	16	4	16	12.5
15	16	4	32	25
15	16	4	64	25
15	16	4	128	46.25
15	16	4	256	27.5
15	16	4	512	25
15	16	4	1024	35
15	16	8	8	25
15	16	8	16	15
15	16	8	32	6.25
15	16	8	64	50
15	16	8	128	30
15	16	8	256	27.5
15	16	8	512	70
15	16	8	1024	12.5
15	16	16	8	12.5
15	16	16	16	28.75
15	16	16	32	12.5
15	16	16	64	52.5
15	16	16	128	60
15	16	16	256	60
15	16	16	512	12.5
15	16	16	1024	71.25
15	16	32	8	12.5
15	16	32	16	32.5
15	16	32	32	75
15	16	32	64	52.5
15	16	32	128	100
15	16	32	256	100
15	16	32	512	98.75
15	16	32	1024	12.5
15	16	64	8	18.75
15	16	64	16	33.75
15	16	64	32	75
15	16	64	64	98.75
15	16	64	128	98.75
15	16	64	256	12.5
15	16	64	512	100
15	16	64	1024	100
15	32	2	8	12.5
15	32	2	16	13.75
15	32	2	32	15
15	32	2	64	12.5
15	32	2	128	22.5
15	32	2	256	20
15	32	2	512	12.5
15	32	2	1024	12.5
15	32	4	8	12.5
15	32	4	16	12.5
15	32	4	32	17.5
15	32	4	64	23.75
15	32	4	128	26.25
15	32	4	256	21.25
15	32	4	512	12.5
15	32	4	1024	35
15	32	8	8	13.75
15	32	8	16	25
15	32	8	32	12.5
15	32	8	64	12.5
15	32	8	128	30
15	32	8	256	12.5
15	32	8	512	12.5
